q,reduced_denominator_r,raw_mass_E_r,sobolev_mass_H_r,r3_times_raw,r2_times_sobolev,note
30,2,0.40389633178710938,0.10097408294677734,3.231170654296875,0.40389633178710938,finite-conductor diagnostic; theorem allows r^epsilon factors
210,210,0.014828507179095424,0.71176834459658811,137326.80498560271,31388.983996709536,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,2,0.50034677888860002,0.12508669472215,4.0027742311088002,0.50034677888860002,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,3,1.3367334358372756,0.44557781194575863,36.091802767606438,4.0102003075118278,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,5,0.50954552143239584,0.25477276071619787,63.693190179049481,6.3693190179049468,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,6,1.3367334358372758,1.336733435837276,288.73442214085156,48.122403690141937,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,7,0.15611092656876105,0.10407395104584069,53.546047813085039,5.0996236012461935,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,10,0.50954552143239595,0.76431828214859365,509.54552143239596,76.431828214859365,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,11,0.03136272327377012,0.031362723273770127,41.743784677388028,3.7948895161261853,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,14,0.15611092656876105,0.31222185313752193,428.36838250468031,61.195483214954301,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,15,0.34849361559079467,0.69698723118158945,1176.1659526189321,156.82212701585763,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,21,0.10425725623691612,0.2780193499651098,965.52645001008023,122.60653333461342,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,22,0.031362723273770127,0.094088169821310338,333.95027741910428,45.538674193514204,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,30,0.34849361559079467,2.0909616935447719,9409.327620951457,1881.8655241902948,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,33,0.021112576195363095,0.084450304781452268,758.72265073276355,91.966381907001519,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,35,0.034230706444240089,0.13692282577696016,1467.6415387967938,167.73046157677621,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,42,0.10425725623691612,0.83405804989532917,7724.2116000806418,1471.2784000153606,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,55,0.0070309511991976581,0.042185707195185933,1169.7745057665104,127.61176426543744,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,66,0.021112576195363095,0.25335091434435741,6069.7812058621084,1103.5965828840208,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,70,0.034230706444240089,0.41076847733088007,11741.132310374351,2012.7655389213123,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,77,0.002158274292858477,0.017266194342867781,985.32343774155913,102.37126625886307,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,105,0.014932900026417634,0.23892640042268229,17286.698393081715,2634.1635646600721,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,110,0.0070309511991976589,0.12655712158555679,9358.1960461320832,1531.3411711852373,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,154,0.002158274292858477,0.051798583028602643,7882.5875019324731,1228.4551951063404,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,165,0.0030993786433366694,0.074385087440079364,13922.796288198735,2025.1340055561607,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,210,0.014932900026417638,0.71677920126803318,138293.58714465375,31609.962775920263,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,231,0.00095213658139569376,0.030468370604661982,11736.407787686647,1625.8227238353679,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,330,0.0030993786433366694,0.22315526232023641,111382.37030558988,24301.608066673747,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,385,0.00030731127226702246,0.014750941068816938,17537.21713273507,2186.4582399253909,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,462,0.00095213658139569376,0.09140511181398786,93891.262301493174,19509.872686024824,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,770,0.00030731127226702246,0.044252823206450423,140297.73706188056,26237.498879104456,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,1155,0.00011438910085937759,0.021962707365000854,176250.59791639051,29298.800692595265,finite-conductor diagnostic; theorem allows r^epsilon factors
2310,2310,0.00011438910085937759,0.065888122094989801,1410004.7833311241,351585.60831107508,finite-conductor diagnostic; theorem allows r^epsilon factors
